,Politicians,sent_score
0,Abubakar Sani Bello,0.12739743589743593
1,Wille Obiano,0.03425000000000006
2,Akinwunmi Ambode,0.04540816326530612
3,David Mark,0.11170902777777778
4,Aminu Waziri Tambuwal,0.038592592592592595
5,Nasir Ahmad El Rufai,0.06791666666666667
6,Nyesom Wike,0.06208791937229435
7,Adams Oshiomole,0.1826666666666668
8,Godswill Akpapio,
9,Rotimi Amaechi,0.043116071428571434
10,Dino Melaye,0.14481428571428576
11,Ahmadu Adamu Mu’azu,0.06666666666666667
12,Mohammadu Buhari ,0.0005
13,Orji Uzor Kalu,0.12518015873015878
14,Atiku Abubakar,-0.03740939153439153
15,Rochas Okorocha,0.04283712121212122
16,Olusegun Obasanjo,0.031
17,Ifeanyi Ubah,0.2298333333333333
18,Ibrahim Babangida,0.03285271464646464
19,Bola Tinubu,0.0613472222222222
20,Rauf Aregbesola,0.49937601010100946
21,Ayo Fayose,0.028650297619047627
22,Dr. Okezie Ikpeazu,0.002222222222222225
23,Hon. Ahmadu Umaru Fintiri,0.17187499999999997
24,Mr. Udom Gabriel Emmanuel,0.32999999999999996
25,Senator Bala Muhammed,0.0
26,Senator Duoye Diri,
27,Dr. Samuel Ortom,0.028846153846153848
28,Kayode Fayemi,0.10876937984496125
29,Senator Benedict Ayade,
30,Senator Dr. Ifeanyi Okowa,0.13333333333333333
31,Engr. Dave Nweze Umahi,
32,Dr. Ifeanyi Ugwuany,
33,Mr. Godwin Obaseki,0.21814814814814815
34,Mr. Oluwaseyi Makinde,
35,Arch. Darius Ishaku,
36,Dr. Bello Matawalle,0.3333333333333333
